cow_id,rumination_time,water_intake,alerts
6,646.2495018603803,177.94725931449892,0
19,383.7038995637096,190.5179340652546,1
14,146.10399957566588,107.19185936144633,0
10,44.39655916963326,43.51770878524161,0
7,159.39834067243086,73.80839755440415,0
6,957.5139643216166,69.6048864536406,0
18,727.5656415709697,70.62383249197968,1
10,527.7054209342939,113.9598899144725,1
10,941.5405000545918,129.1483607875671,0
3,619.1104376816039,50.82663007558901,0
7,725.6451882806673,181.19052110981684,1
2,282.6518185058721,135.3955499577895,1
1,588.9818435891958,131.5327941455609,1
11,143.47724429784026,197.8374297253283,1
5,404.4831451977754,136.7844761738313,0
1,33.24032498661011,187.92305538120144,1
0,216.62808758268048,78.6636853011646,0
11,74.86862942267469,70.82201335890458,1
11,387.7788195072314,117.80817676015702,0
16,843.0351646384902,116.46352109823323,1
9,377.93410634505307,68.50222041226246,1
15,831.6396259946433,148.94146167299112,1
14,656.4983125788874,35.03774927023786,1
14,509.52944663082775,147.40718033340696,0
18,236.89169326133052,107.72024064096102,1
11,922.1560928441523,147.13127684366344,1
19,54.20080884203327,111.10370720905823,0
2,688.9130176988153,196.14674309039813,0
4,621.2398928093688,86.89644168753003,0
18,441.04152225652683,197.037399290406,0
6,240.32095529260533,41.04557022142581,1
8,430.6959368452669,146.23933170878462,1
6,872.7727255534206,107.21726515343506,1
17,836.7661102549541,169.76339634004904,1
3,941.3812499770293,164.23473185188968,0
13,307.793206625248,166.03573108890936,1
17,387.1041583688729,46.10556188142835,0
8,18.726152659863327,169.8021689764201,1
1,942.9499947200081,66.38682676543937,0
19,329.39009181726885,34.365644856035914,0
14,404.1638215329932,67.01558234634993,0
6,907.8046114473946,111.47846779897156,0
11,526.5984301668132,156.15893118494347,0
7,566.174541755478,67.16752174158512,0
14,176.23283815091685,49.21128317534613,0
2,498.66002081865446,139.8144333540702,0
13,918.2086009087742,197.262666181203,1
16,558.718088107926,132.14795135455506,0
3,255.11636463975807,147.47975190098168,1
17,31.180864134762842,125.3984654368914,0
7,336.301773454068,162.99923551884567,1
3,572.5909140644579,195.88675143560562,1
1,42.61328837083012,122.50196899871142,0
5,609.7925772911562,100.8543869962634,1
9,523.4138271181127,176.2583203972215,1
3,783.4354691665709,194.8538184391983,1
17,28.88817227196183,51.96087894782656,0
11,780.8473448187374,128.28906413055924,0
1,520.8770457581069,164.71819873281956,0
9,370.52933277971147,120.66769887658643,0
3,965.3829763588241,99.56348459280127,1
13,160.11954723605305,141.3890695930215,1
15,541.3251190911064,75.9217760672692,1
14,320.98147359247844,89.3527362995228,1
7,527.4863787953358,198.68703200982858,0
13,552.2754525804121,138.1991068436642,0
7,89.44824842484577,178.3976407128827,0
15,661.1351469183497,167.3206472163144,0
12,634.4814959190118,140.8863342469841,1
17,769.4672746344639,172.92394401799143,1
14,90.658493659171,78.81694422370707,1
12,297.25854690368783,138.3097962980907,0
8,650.1105997281013,130.40259321907675,1
14,136.73082591560848,135.81133213486862,1
12,677.5982107884423,58.66742761495179,1
0,59.02671082042299,77.13131679967162,1
6,334.9315529596277,78.73191419473164,1
8,846.7111223325192,132.33084763736974,1
0,774.2912903811601,195.33296967476363,0
11,644.7607152270879,192.1914837009652,1
7,870.4584166251011,68.62222400824842,0
10,709.2695441722004,81.82369132135133,0
18,519.375105210803,36.13052168745841,0
16,979.7175003857866,97.798650276097,1
7,694.8560797893196,171.8946006856618,1
2,601.3671768130031,185.6777956276438,0
2,408.8705609535647,70.20440152655041,1
0,902.4124985790504,75.18506049310267,1
4,295.7090956049928,67.54446880648813,1
9,9.219594210902681,89.51760648767839,0
6,196.74052243235997,166.8090977603926,1
8,109.51749194235916,139.9657698803582,1
6,318.99377417307204,163.609956036829,0
8,825.8786774584551,129.11528807700205,0
7,651.5296853650075,73.81462327005497,1
11,168.98058923371252,68.7590106361325,1
1,788.8217210923385,31.530119996837463,0
0,504.21986609940274,162.76696326859232,0
15,512.7146241182969,174.01060844800202,0
4,362.1121809808733,160.60804193683077,1
2,864.6163648220235,42.648349813843424,1
11,318.32730385579265,159.5776766188772,1
7,94.13976066968866,37.78046703554578,1
2,302.7289939719451,47.9508211700865,1
0,715.3535462678857,104.88081339855343,1
2,657.5818868033289,110.94499151722282,0
4,188.01715355357786,168.74016822517837,1
14,111.78429910494204,145.51957164695477,1
13,660.8657584017463,56.06443036730677,0
2,676.3768356549123,68.44495314889622,0
0,366.1496372105707,78.56478200397675,0
4,842.8013835290798,51.02434836732592,0
13,978.2052037999168,78.89963068106923,0
6,205.6452234493954,153.8616864417546,0
8,577.0687157060283,71.03824991823811,0
14,5.346329003939165,172.0111400002657,0
14,713.0543960262873,109.81788917128533,0
9,414.2821135633178,84.8990794115461,1
12,193.26922690316485,100.11107777330842,1
18,752.2219217643761,150.61444590089354,1
6,810.6487975560807,117.85475955181835,0
16,111.1665011759373,31.23737287575987,1
19,40.99576183803399,186.79505391946276,0
3,334.07844166911724,41.21932051031479,0
4,625.9904657610356,189.56562929844557,0
6,793.4195271886331,34.785980015409294,0
12,546.0624966304576,161.06648694276623,1
14,580.7487763069806,120.89470039115899,1
10,799.8582217528912,115.97345070269802,0
3,528.8433742187593,42.37234543248077,1
12,611.1544902263005,70.58665175744576,1
6,516.2173399765593,162.18304390108264,0
18,880.458233367704,181.514171086824,1
1,235.51661858508888,119.95017577900653,1
9,263.99358454050935,90.06837738164121,1
12,127.96146160182576,40.19034537091584,0
5,819.4667514944217,145.9703494312779,1
11,411.77729056235734,77.33592381666804,1
11,347.8939408812438,39.35233154866496,0
19,981.3487170871562,143.19479394676574,1
10,926.8033664397855,112.57236490073892,1
6,971.9876821247614,32.03356544929307,0
0,142.29899675869285,48.857086648079004,0
0,891.2518131481662,148.8643279718105,1
19,328.7095993874515,40.82412662118405,0
12,12.656770211862511,177.21372102330835,1
8,391.29833598306874,82.92546716138855,0
2,509.1963531380597,45.07329997419218,0
6,108.22042356740536,159.15875428857112,0
5,537.6776168742563,119.15262985701403,1
7,819.4635841767315,82.1288055044806,1
8,377.65095083919397,99.03671808377555,0
4,352.6448065343022,33.6401072528204,0
0,338.81042023067744,142.65875138170293,1
18,923.094445883692,92.18152712378557,0
9,48.7580987901991,151.38638685378206,0
11,445.0761419929553,136.789094811933,0
14,264.59945414971685,140.71321160465544,1
8,893.8070253874943,164.7917608707535,1
19,96.05226358380392,137.29687332396267,0
16,411.4427666804108,101.18340797112171,0
16,406.81615203108566,96.28768549488805,1
19,888.3944175470226,50.328958150025485,1
11,215.49344504096945,162.5053802365611,0
6,644.8954103016112,159.3884350982857,0
1,134.40612688778907,71.87072240453898,0
2,953.9757140805427,176.6559251586846,1
16,593.0149592722859,130.1305538244068,0
4,626.2567303206703,111.37676320707644,1
16,433.7734016604722,32.974371276334296,0
16,342.28271266632225,95.06600159693376,0
16,212.67642949487632,138.91403060006272,0
1,603.9877538322589,45.25713240702519,1
1,954.561745348238,108.12644251088321,1
4,359.790954092403,198.88411173147134,0
0,883.1568886620543,151.8115683255415,0
0,148.77631284724967,122.96805087527275,0
18,936.1260208818007,120.61559043964303,1
1,350.4862838980766,37.440063983893054,0
11,379.72721159334566,192.74345435934913,0
5,462.8422570343282,187.79020224845732,1
3,718.2442699476502,146.00880081482592,1
10,719.6534336890352,46.83198044586349,0
16,479.5885847196653,65.33176244740449,1
5,523.1528993139359,61.26462109884949,1
4,30.01048777414117,118.32834246720721,1
19,304.29670155832565,65.32665866533755,1
1,346.01707423060947,148.28609546251369,1
5,558.7272687257594,122.68908061479614,1
10,558.2997673713045,33.00189009725143,1
15,709.8997977278732,156.48973029606077,1
15,717.0272962180809,62.10088523117125,0
0,235.210724212083,170.23047034571508,0
